Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/img""))",Chrome 114.0.0.0,,,2023-06-14 14:26:41,2023-06-14 14:26:44,2.836s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/div_Subscribe Now""))",Chrome 114.0.0.0,,,2023-06-14 14:26:44,2023-06-14 14:26:45,0.611s,PASSED
"setText(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/input_Name on Card_nameOnCard""), ""djay"")",Chrome 114.0.0.0,,,2023-06-14 14:26:45,2023-06-14 14:26:55,10.539s,PASSED
"setText(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/input_Credit Card Number_cardNumber""), ""4242 4242 4242 4242"")",Chrome 114.0.0.0,,,2023-06-14 14:26:55,2023-06-14 14:26:56,0.617s,PASSED
"setText(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/input_Exp MMYY_expiryDate""), ""01/24"")",Chrome 114.0.0.0,,,2023-06-14 14:26:56,2023-06-14 14:26:56,0.478s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/input_CVV_securityCode""), ""AbZbeXpnEm4="")",Chrome 114.0.0.0,,,2023-06-14 14:26:56,2023-06-14 14:26:57,0.423s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/input_Discount Code_discountCode""))",Chrome 114.0.0.0,,,2023-06-14 14:26:57,2023-06-14 14:26:57,0.411s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/input_19.99_termsconditions""))",Chrome 114.0.0.0,,,2023-06-14 14:26:57,2023-06-14 14:26:57,0.411s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/span_Subscribe Now""))",Chrome 114.0.0.0,,,2023-06-14 14:26:57,2023-06-14 14:26:58,0.457s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/button_CONTINUE""))",Chrome 114.0.0.0,,,2023-06-14 14:26:58,2023-06-14 14:27:01,3.593s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-14 14:27:01,2023-06-14 14:27:04,3.004s,PASSED
refresh(),Chrome 114.0.0.0,,,2023-06-14 14:27:04,2023-06-14 14:27:13,8.779s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-14 14:27:13,2023-06-14 14:27:16,3.017s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/svg""))",Chrome 114.0.0.0,,,2023-06-14 14:27:16,2023-06-14 14:27:17,0.328s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-14 14:27:17,2023-06-14 14:27:20,3.006s,PASSED
refresh(),Chrome 114.0.0.0,,,2023-06-14 14:27:20,2023-06-14 14:27:26,6.283s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-14 14:27:26,2023-06-14 14:27:29,3.006s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/img""))",Chrome 114.0.0.0,,,2023-06-14 14:27:29,2023-06-14 14:27:29,0.367s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/div_Manage Subscription""))",Chrome 114.0.0.0,,,2023-06-14 14:27:29,2023-06-14 14:27:30,0.559s,PASSED
"verifyElementText(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/button_CHANGE PLAN""), ""CHANGE PLAN"")",Chrome 114.0.0.0,,,2023-06-14 14:27:30,2023-06-14 14:27:31,1.010s,PASSED
"verifyElementText(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/div_MANAGE SUBSCRIPTION (1)""), ""MANAGE SUBSCRIPTION"")",Chrome 114.0.0.0,,,2023-06-14 14:27:31,2023-06-14 14:27:31,0.274s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/svg""))",Chrome 114.0.0.0,,,2023-06-14 14:27:31,2023-06-14 14:28:02,31.332s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/div_Log Out""))",Chrome 114.0.0.0,,,2023-06-14 14:28:02,2023-06-14 14:28:03,0.544s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-14 14:28:03,2023-06-14 14:28:04,0.890s,PASSED
,,,,,,,
Test Cases/DTC_NS_Login,Chrome 114.0.0.0,,,2023-06-14 14:28:04,2023-06-14 14:28:25,21.325s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-14 14:28:04,2023-06-14 14:28:06,1.794s,PASSED
"navigateToUrl(""https://qa.watchyesnetwork.com/"")",Chrome 114.0.0.0,,,2023-06-14 14:28:06,2023-06-14 14:28:14,8.369s,PASSED
"click(findTestObject(""Object Repository/DTC_NS_Login/Page_Watch  YES Network/div_I use social account to login or have r_ffd706""))",Chrome 114.0.0.0,,,2023-06-14 14:28:14,2023-06-14 14:28:15,0.651s,PASSED
"click(findTestObject(""Object Repository/DTC_NS_Login/Page_Watch  YES Network/button_DISMISS""))",Chrome 114.0.0.0,,,2023-06-14 14:28:15,2023-06-14 14:28:15,0.352s,PASSED
"click(findTestObject(""Object Repository/DTC_NS_Login/Page_Watch  YES Network/button_LOGIN WITH YES APP ACCOUNT""))",Chrome 114.0.0.0,,,2023-06-14 14:28:15,2023-06-14 14:28:16,0.729s,PASSED
"setText(findTestObject(""Object Repository/DTC_NS_Login/Page_Watch  YES Network/input_Email_email""), ""djay+stage0@amdocs.com"")",Chrome 114.0.0.0,,,2023-06-14 14:28:16,2023-06-14 14:28:18,2.199s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DTC_NS_Login/Page_Watch  YES Network/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 114.0.0.0,,,2023-06-14 14:28:18,2023-06-14 14:28:19,0.449s,PASSED
"click(findTestObject(""Object Repository/DTC_NS_Login/Page_Watch  YES Network/button_LOGIN""))",Chrome 114.0.0.0,,,2023-06-14 14:28:19,2023-06-14 14:28:19,0.541s,PASSED
"verifyElementText(findTestObject(""Object Repository/DTC_NS_Login/Page_Watch  YES Network/button_SUBSCRIBE NOW""), ""SUBSCRIBE NOW"")",Chrome 114.0.0.0,,,2023-06-14 14:28:19,2023-06-14 14:28:23,3.920s,PASSED
"click(findTestObject(""Object Repository/DTC_NS_Login/Page_Watch  YES Network/img""))",Chrome 114.0.0.0,,,2023-06-14 14:28:23,2023-06-14 14:28:24,0.555s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/DTC_NS_Login/Page_Watch  YES Network/div_Subscribe Now""), 0)",Chrome 114.0.0.0,,,2023-06-14 14:28:24,2023-06-14 14:28:24,0.523s,PASSED
"click(findTestObject(""Object Repository/DTC_NS_Login/Page_Watch  YES Network/div_Log Out""))",Chrome 114.0.0.0,,,2023-06-14 14:28:24,2023-06-14 14:28:25,0.410s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-14 14:28:25,2023-06-14 14:28:25,0.678s,PASSED
